Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
New Nric,,,,01-08-2024 16:24:55,01-08-2024 16:25:00,4.608s,PASSED
,,,,,,,
Test Cases/TC01_NEW_NRIC,,Scenario 1 : Take new NRIC and do the ekyc flow,,01-08-2024 16:24:56,01-08-2024 16:25:00,4.336s,PASSED
custreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Customer Risk Rating,,01-08-2024 16:24:56,01-08-2024 16:24:56,0.045s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,,,,01-08-2024 16:24:56,01-08-2024 16:24:56,0.002s,PASSED
println(custloan_id),,,,01-08-2024 16:24:56,01-08-2024 16:24:56,0.005s,PASSED
"response1 = sendRequest(findTestObject(""EKYC Flow/Customer Risk Rating"", [""cust_req_id"":custreq_id, ""cust_loan_id"":custloan_id, ""NRIC"":New_Nric]))",,,,01-08-2024 16:24:56,01-08-2024 16:25:00,3.409s,PASSED
println(response1.getResponseBodyContent()),,,,01-08-2024 16:25:00,01-08-2024 16:25:00,0.037s,PASSED
getStatusCode()).isEqualTo(200),,,,01-08-2024 16:25:00,01-08-2024 16:25:00,0.231s,PASSED
"println(verifyElementPropertyValue(response1, ""evaluationStatus"", ""Approve""))",,,,01-08-2024 16:25:00,01-08-2024 16:25:00,0.153s,PASSED
"println(""**************CUSTOMER RISK RATING PASSED**************"")",,,,01-08-2024 16:25:00,01-08-2024 16:25:00,0.001s,PASSED
