Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer IDV,,,,02-08-2024 11:20:30,02-08-2024 11:20:38,7.181s,FAILED
,,,,,,,
Test Cases/TC02_Customer_Idv,,Scenario 2 : Take NRIC from customer idv table that has done fully ekyc,,02-08-2024 11:20:37,02-08-2024 11:20:38,0.703s,FAILED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Member Onboarding Status,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.001s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.001s,PASSED
println(custloan_id),,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.000s,PASSED
"response4 = sendRequest(findTestObject(""EKYC Flow/Member Onboarding Status"", [""stat_req_id"":statreq_id, ""NRIC"":IDV_Nric]))",,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.133s,PASSED
println(response4.getResponseBodyContent()),,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.001s,PASSED
getStatusCode()).isEqualTo(200),,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.001s,PASSED
"println(verifyElementPropertyValue(response4, ""exists"", ""true""))",,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.080s,PASSED
exreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Member Existence Check,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.000s,PASSED
println(custloan_id),,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.001s,PASSED
"response5 = sendRequest(findTestObject(""EKYC Flow/Member Existence Check"", [""ex_loan_id"":custloan_id, ""ex_req_id"":exreq_id, ""NRIC"":IDV_Nric]))",,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.187s,PASSED
println(response5.getResponseBodyContent()),,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.000s,PASSED
getStatusCode()).isEqualTo(200),,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.000s,PASSED
"println(verifyElementPropertyValue(response5, ""exists"", ""true""))",,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.055s,PASSED
"println(""**************MEMBER EXISTENCE PASSED**************"")",,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.001s,PASSED
custreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Customer Risk Rating,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.000s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.001s,PASSED
println(custloan_id),,,,02-08-2024 11:20:37,02-08-2024 11:20:37,0.000s,PASSED
"response1 = sendRequest(findTestObject(""EKYC Flow/Customer Risk Rating"", [""cust_req_id"":custreq_id, ""cust_loan_id"":custloan_id, ""NRIC"":IDV_Nric]))",,,,02-08-2024 11:20:37,02-08-2024 11:20:38,0.193s,PASSED
println(response1.getResponseBodyContent()),,,,02-08-2024 11:20:38,02-08-2024 11:20:38,0.001s,PASSED
getStatusCode()).isEqualTo(200),,,,02-08-2024 11:20:38,02-08-2024 11:20:38,0.003s,FAILED
