Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer IDV,Chrome 127.0.0.0,,,13-08-2024 12:26:03,13-08-2024 12:27:23,1m - 19.881s,PASSED
,,,,,,,
Test Cases/TC02_Customer_Idv,Chrome 127.0.0.0,Scenario 2 : Take NRIC from customer idv table that has done fully ekyc,,13-08-2024 12:26:04,13-08-2024 12:27:23,1m - 19.441s,PASSED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Member Onboarding Status,,13-08-2024 12:26:05,13-08-2024 12:26:05,0.091s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,,,13-08-2024 12:26:05,13-08-2024 12:26:05,0.004s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,13-08-2024 12:26:05,13-08-2024 12:26:05,0.017s,PASSED
"response4 = sendRequest(findTestObject(""EKYC Flow/Member Onboarding Status"", [""stat_req_id"":statreq_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,13-08-2024 12:26:05,13-08-2024 12:26:09,3.520s,PASSED
println(response4.getResponseBodyContent()),Chrome 127.0.0.0,,,13-08-2024 12:26:09,13-08-2024 12:26:09,0.041s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,13-08-2024 12:26:09,13-08-2024 12:26:09,0.287s,PASSED
"println(verifyElementPropertyValue(response4, ""exists"", ""true""))",Chrome 127.0.0.0,,,13-08-2024 12:26:09,13-08-2024 12:26:09,0.126s,PASSED
exreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Member Existence Check,,13-08-2024 12:26:09,13-08-2024 12:26:09,0.005s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,13-08-2024 12:26:09,13-08-2024 12:26:09,0.002s,PASSED
"response5 = sendRequest(findTestObject(""EKYC Flow/Member Existence Check"", [""ex_loan_id"":custloan_id, ""ex_req_id"":exreq_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,13-08-2024 12:26:09,13-08-2024 12:26:10,0.792s,PASSED
println(response5.getResponseBodyContent()),Chrome 127.0.0.0,,,13-08-2024 12:26:10,13-08-2024 12:26:10,0.007s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,13-08-2024 12:26:10,13-08-2024 12:26:10,0.008s,PASSED
"println(verifyElementPropertyValue(response5, ""exists"", ""true""))",Chrome 127.0.0.0,,,13-08-2024 12:26:10,13-08-2024 12:26:10,0.094s,PASSED
"println(""**************MEMBER EXISTENCE PASSED**************"")",Chrome 127.0.0.0,,,13-08-2024 12:26:10,13-08-2024 12:26:10,0.001s,PASSED
custreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Customer Risk Rating,,13-08-2024 12:26:10,13-08-2024 12:26:10,0.003s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,,,13-08-2024 12:26:10,13-08-2024 12:26:10,0.001s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,13-08-2024 12:26:10,13-08-2024 12:26:10,0.002s,PASSED
"response1 = sendRequest(findTestObject(""EKYC Flow/Customer Risk Rating"", [""cust_req_id"":custreq_id, ""cust_loan_id"":custloan_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,13-08-2024 12:26:10,13-08-2024 12:26:12,1.404s,PASSED
println(response1.getResponseBodyContent()),Chrome 127.0.0.0,,,13-08-2024 12:26:12,13-08-2024 12:26:12,0.007s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,13-08-2024 12:26:12,13-08-2024 12:26:12,0.009s,PASSED
"println(verifyElementPropertyValue(response1, ""evaluationStatus"", ""Approve""))",Chrome 127.0.0.0,,,13-08-2024 12:26:12,13-08-2024 12:26:12,0.128s,PASSED
"println(""**************CUSTOMER RISK RATING PASSED**************"")",Chrome 127.0.0.0,,,13-08-2024 12:26:12,13-08-2024 12:26:12,0.002s,PASSED
indreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Industry Risk Rating,,13-08-2024 12:26:12,13-08-2024 12:26:12,0.001s,PASSED
