Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer IDV,Chrome 127.0.0.0,,,15-08-2024 11:12:29,15-08-2024 11:17:34,5m - 4.810s,PASSED
,,,,,,,
Test Cases/TC02_Customer_Idv,Chrome 127.0.0.0,Scenario 2 : Take NRIC from customer idv table that has done fully ekyc,,15-08-2024 11:12:29,15-08-2024 11:17:34,5m - 4.396s,PASSED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Member Onboarding Status,,15-08-2024 11:12:31,15-08-2024 11:12:31,0.066s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,,,15-08-2024 11:12:31,15-08-2024 11:12:31,0.002s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,15-08-2024 11:12:31,15-08-2024 11:12:31,0.007s,PASSED
"response4 = sendRequest(findTestObject(""EKYC Flow/Member Onboarding Status"", [""stat_req_id"":statreq_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,15-08-2024 11:12:31,15-08-2024 11:12:33,2.720s,PASSED
println(response4.getResponseBodyContent()),Chrome 127.0.0.0,,,15-08-2024 11:12:33,15-08-2024 11:12:33,0.047s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,15-08-2024 11:12:33,15-08-2024 11:12:34,0.323s,PASSED
"println(verifyElementPropertyValue(response4, ""exists"", ""true""))",Chrome 127.0.0.0,,,15-08-2024 11:12:34,15-08-2024 11:12:34,0.172s,PASSED
exreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Member Existence Check,,15-08-2024 11:12:34,15-08-2024 11:12:34,0.002s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,15-08-2024 11:12:34,15-08-2024 11:12:34,0.002s,PASSED
"response5 = sendRequest(findTestObject(""EKYC Flow/Member Existence Check"", [""ex_loan_id"":custloan_id, ""ex_req_id"":exreq_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,15-08-2024 11:12:34,15-08-2024 11:12:35,0.619s,PASSED
