Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer Profile,,,,13-08-2024 15:50:30,13-08-2024 15:50:33,3.669s,FAILED
,,,,,,,
Test Cases/TC03_Customer_Profile,,Scenario 3 : Take NRIC from customer profile table that has done fully ekyc,,13-08-2024 15:50:30,13-08-2024 15:50:33,3.419s,FAILED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Member Onboarding Status,,13-08-2024 15:50:31,13-08-2024 15:50:31,0.051s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,,,,13-08-2024 15:50:31,13-08-2024 15:50:31,0.002s,PASSED
println(custloan_id),,,,13-08-2024 15:50:31,13-08-2024 15:50:31,0.005s,PASSED
"response4 = sendRequest(findTestObject(""EKYC Flow/Member Onboarding Status"", [""stat_req_id"":statreq_id, ""NRIC"":P_NRIC]))",,,,13-08-2024 15:50:31,13-08-2024 15:50:33,2.164s,PASSED
println(response4.getResponseBodyContent()),,,,13-08-2024 15:50:33,13-08-2024 15:50:33,0.012s,PASSED
getStatusCode()).isEqualTo(200),,,,13-08-2024 15:50:33,13-08-2024 15:50:33,0.225s,PASSED
"println(verifyElementPropertyValue(response4, ""exists"", ""true""))",,,,13-08-2024 15:50:33,13-08-2024 15:50:33,0.136s,FAILED
