Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer IDV,,,,14-08-2024 10:55:54,14-08-2024 10:56:02,8.179s,FAILED
,,,,,,,
Test Cases/TC02_Customer_Idv,,Scenario 2 : Take NRIC from customer idv table that has done fully ekyc,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.548s,FAILED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Member Onboarding Status,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.000s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.000s,PASSED
println(custloan_id),,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.000s,PASSED
"response4 = sendRequest(findTestObject(""EKYC Flow/Member Onboarding Status"", [""stat_req_id"":statreq_id, ""NRIC"":IDV_Nric]))",,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.141s,PASSED
println(response4.getResponseBodyContent()),,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.002s,PASSED
getStatusCode()).isEqualTo(200),,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.001s,PASSED
"println(verifyElementPropertyValue(response4, ""exists"", ""true""))",,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.055s,PASSED
exreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Member Existence Check,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.001s,PASSED
println(custloan_id),,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.000s,PASSED
"response5 = sendRequest(findTestObject(""EKYC Flow/Member Existence Check"", [""ex_loan_id"":custloan_id, ""ex_req_id"":exreq_id, ""NRIC"":IDV_Nric]))",,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.144s,PASSED
println(response5.getResponseBodyContent()),,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.000s,PASSED
getStatusCode()).isEqualTo(200),,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.001s,PASSED
"println(verifyElementPropertyValue(response5, ""exists"", ""true""))",,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.037s,PASSED
"println(""**************MEMBER EXISTENCE PASSED**************"")",,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.000s,PASSED
custreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Customer Risk Rating,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.001s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.000s,PASSED
println(custloan_id),,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.000s,PASSED
"response1 = sendRequest(findTestObject(""EKYC Flow/Customer Risk Rating"", [""cust_req_id"":custreq_id, ""cust_loan_id"":custloan_id, ""NRIC"":IDV_Nric]))",,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.127s,PASSED
println(response1.getResponseBodyContent()),,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.001s,PASSED
getStatusCode()).isEqualTo(200),,,,14-08-2024 10:56:02,14-08-2024 10:56:02,0.008s,FAILED
