Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer IDV,,,,13-08-2024 12:25:18,13-08-2024 12:25:29,10.539s,PASSED
,,,,,,,
Test Cases/TC02_Customer_Idv,,Scenario 2 : Take NRIC from customer idv table that has done fully ekyc,,13-08-2024 12:25:19,13-08-2024 12:25:29,10.034s,PASSED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Member Onboarding Status,,13-08-2024 12:25:20,13-08-2024 12:25:20,0.137s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,,,,13-08-2024 12:25:20,13-08-2024 12:25:21,0.007s,PASSED
println(custloan_id),,,,13-08-2024 12:25:21,13-08-2024 12:25:21,0.015s,PASSED
"response4 = sendRequest(findTestObject(""EKYC Flow/Member Onboarding Status"", [""stat_req_id"":statreq_id, ""NRIC"":IDV_Nric]))",,,,13-08-2024 12:25:21,13-08-2024 12:25:24,3.102s,PASSED
println(response4.getResponseBodyContent()),,,,13-08-2024 12:25:24,13-08-2024 12:25:24,0.032s,PASSED
getStatusCode()).isEqualTo(200),,,,13-08-2024 12:25:24,13-08-2024 12:25:24,0.299s,PASSED
"println(verifyElementPropertyValue(response4, ""exists"", ""true""))",,,,13-08-2024 12:25:24,13-08-2024 12:25:24,0.159s,PASSED
exreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Member Existence Check,,13-08-2024 12:25:24,13-08-2024 12:25:24,0.004s,PASSED
println(custloan_id),,,,13-08-2024 12:25:24,13-08-2024 12:25:24,0.001s,PASSED
"response5 = sendRequest(findTestObject(""EKYC Flow/Member Existence Check"", [""ex_loan_id"":custloan_id, ""ex_req_id"":exreq_id, ""NRIC"":IDV_Nric]))",,,,13-08-2024 12:25:24,13-08-2024 12:25:25,0.662s,PASSED
println(response5.getResponseBodyContent()),,,,13-08-2024 12:25:25,13-08-2024 12:25:25,0.006s,PASSED
getStatusCode()).isEqualTo(200),,,,13-08-2024 12:25:25,13-08-2024 12:25:25,0.009s,PASSED
