Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer IDV,Chrome 127.0.0.0,,,09-08-2024 15:05:59,09-08-2024 15:07:14,1m - 14.345s,PASSED
,,,,,,,
Test Cases/TC02_Customer_Idv,Chrome 127.0.0.0,Scenario 2 : Take NRIC from customer idv table that has done fully ekyc,,09-08-2024 15:06:00,09-08-2024 15:07:14,1m - 14.042s,PASSED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Member Onboarding Status,,09-08-2024 15:06:01,09-08-2024 15:06:01,0.053s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,,,09-08-2024 15:06:01,09-08-2024 15:06:01,0.002s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,09-08-2024 15:06:01,09-08-2024 15:06:01,0.004s,PASSED
"response4 = sendRequest(findTestObject(""EKYC Flow/Member Onboarding Status"", [""stat_req_id"":statreq_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,09-08-2024 15:06:01,09-08-2024 15:06:03,2.170s,PASSED
println(response4.getResponseBodyContent()),Chrome 127.0.0.0,,,09-08-2024 15:06:03,09-08-2024 15:06:03,0.019s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,09-08-2024 15:06:03,09-08-2024 15:06:03,0.301s,PASSED
"println(verifyElementPropertyValue(response4, ""exists"", ""true""))",Chrome 127.0.0.0,,,09-08-2024 15:06:03,09-08-2024 15:06:03,0.115s,PASSED
exreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Member Existence Check,,09-08-2024 15:06:03,09-08-2024 15:06:03,0.004s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,09-08-2024 15:06:03,09-08-2024 15:06:03,0.002s,PASSED
"response5 = sendRequest(findTestObject(""EKYC Flow/Member Existence Check"", [""ex_loan_id"":custloan_id, ""ex_req_id"":exreq_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,09-08-2024 15:06:03,09-08-2024 15:06:04,0.518s,PASSED
println(response5.getResponseBodyContent()),Chrome 127.0.0.0,,,09-08-2024 15:06:04,09-08-2024 15:06:04,0.005s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,09-08-2024 15:06:04,09-08-2024 15:06:04,0.004s,PASSED
"println(verifyElementPropertyValue(response5, ""exists"", ""true""))",Chrome 127.0.0.0,,,09-08-2024 15:06:04,09-08-2024 15:06:04,0.082s,PASSED
"println(""**************MEMBER EXISTENCE PASSED**************"")",Chrome 127.0.0.0,,,09-08-2024 15:06:04,09-08-2024 15:06:04,0.002s,PASSED
custreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Customer Risk Rating,,09-08-2024 15:06:04,09-08-2024 15:06:04,0.001s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,,,09-08-2024 15:06:04,09-08-2024 15:06:04,0.001s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,09-08-2024 15:06:04,09-08-2024 15:06:04,0.001s,PASSED
"response1 = sendRequest(findTestObject(""EKYC Flow/Customer Risk Rating"", [""cust_req_id"":custreq_id, ""cust_loan_id"":custloan_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,09-08-2024 15:06:04,09-08-2024 15:06:07,2.959s,PASSED
println(response1.getResponseBodyContent()),Chrome 127.0.0.0,,,09-08-2024 15:06:07,09-08-2024 15:06:07,0.008s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,09-08-2024 15:06:07,09-08-2024 15:06:07,0.009s,PASSED
"println(verifyElementPropertyValue(response1, ""evaluationStatus"", ""Approve""))",Chrome 127.0.0.0,,,09-08-2024 15:06:07,09-08-2024 15:06:07,0.077s,PASSED
"println(""**************CUSTOMER RISK RATING PASSED**************"")",Chrome 127.0.0.0,,,09-08-2024 15:06:07,09-08-2024 15:06:07,0.001s,PASSED
indreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Industry Risk Rating,,09-08-2024 15:06:07,09-08-2024 15:06:07,0.001s,PASSED
"response2 = sendRequest(findTestObject(""EKYC Flow/Industry Risk Rating"", [""ind_loan_id"":custloan_id, ""ind_req_id"":indreq_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,09-08-2024 15:06:07,09-08-2024 15:06:09,2.040s,PASSED
