Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
New Nric,Chrome 127.0.0.0,,,09-08-2024 10:35:35,09-08-2024 10:37:30,1m - 55.902s,PASSED
,,,,,,,
Test Cases/TC01_NEW_NRIC,Chrome 127.0.0.0,Scenario 1 : Take new NRIC and do the ekyc flow,,09-08-2024 10:35:35,09-08-2024 10:37:30,1m - 55.516s,PASSED
custreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Customer Risk Rating,,09-08-2024 10:35:36,09-08-2024 10:35:36,0.069s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,,,09-08-2024 10:35:36,09-08-2024 10:35:36,0.002s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,09-08-2024 10:35:36,09-08-2024 10:35:36,0.006s,PASSED
"response1 = sendRequest(findTestObject(""EKYC Flow/Customer Risk Rating"", [""cust_req_id"":custreq_id, ""cust_loan_id"":custloan_id, ""NRIC"":New_Nric]))",Chrome 127.0.0.0,,,09-08-2024 10:35:36,09-08-2024 10:35:39,3.455s,PASSED
println(response1.getResponseBodyContent()),Chrome 127.0.0.0,,,09-08-2024 10:35:39,09-08-2024 10:35:39,0.014s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,09-08-2024 10:35:39,09-08-2024 10:35:40,0.213s,PASSED
"println(verifyElementPropertyValue(response1, ""evaluationStatus"", ""Approve""))",Chrome 127.0.0.0,,,09-08-2024 10:35:40,09-08-2024 10:35:40,0.078s,PASSED
"println(""**************CUSTOMER RISK RATING PASSED**************"")",Chrome 127.0.0.0,,,09-08-2024 10:35:40,09-08-2024 10:35:40,0.001s,PASSED
indreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Industry Risk Rating,,09-08-2024 10:35:40,09-08-2024 10:35:40,0.002s,PASSED
"response2 = sendRequest(findTestObject(""EKYC Flow/Industry Risk Rating"", [""ind_loan_id"":custloan_id, ""ind_req_id"":indreq_id, ""NRIC"":New_Nric]))",Chrome 127.0.0.0,,,09-08-2024 10:35:40,09-08-2024 10:35:41,0.883s,PASSED
println(response2.getResponseBodyContent()),Chrome 127.0.0.0,,,09-08-2024 10:35:41,09-08-2024 10:35:41,0.002s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,09-08-2024 10:35:41,09-08-2024 10:35:41,0.001s,PASSED
"println(verifyElementPropertyValue(response2, ""riskAssessmentType"", ""PROHIBITED_INDUSTRY""))",Chrome 127.0.0.0,,,09-08-2024 10:35:41,09-08-2024 10:35:41,0.070s,PASSED
"println(verifyElementPropertyValue(response2, ""evaluationStatus"", ""Reject""))",Chrome 127.0.0.0,,,09-08-2024 10:35:41,09-08-2024 10:35:41,0.068s,PASSED
"println(""**************INDUSTRY RISK RATING PASSED**************"")",Chrome 127.0.0.0,,,09-08-2024 10:35:41,09-08-2024 10:35:41,0.002s,PASSED
comreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Company Risk Rating,,09-08-2024 10:35:41,09-08-2024 10:35:41,0.002s,PASSED
"response3 = sendRequest(findTestObject(""EKYC Flow/Company Risk Rating"", [""com_loan_id"":custloan_id, ""com_req_id"":comreq_id, ""NRIC"":New_Nric]))",Chrome 127.0.0.0,,,09-08-2024 10:35:41,09-08-2024 10:35:42,1.068s,PASSED
println(response3.getResponseBodyContent()),Chrome 127.0.0.0,,,09-08-2024 10:35:42,09-08-2024 10:35:42,0.002s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,09-08-2024 10:35:42,09-08-2024 10:35:42,0.002s,PASSED
"println(verifyElementPropertyValue(response3, ""riskAssessmentType"", ""COMPANY_RISK""))",Chrome 127.0.0.0,,,09-08-2024 10:35:42,09-08-2024 10:35:42,0.041s,PASSED
"println(verifyElementPropertyValue(response3, ""evaluationStatus"", ""Reject""))",Chrome 127.0.0.0,,,09-08-2024 10:35:42,09-08-2024 10:35:42,0.047s,PASSED
"println(""**************COMPANY RISK RATING PASSED**************"")",Chrome 127.0.0.0,,,09-08-2024 10:35:42,09-08-2024 10:35:42,0.002s,PASSED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Member Onboarding Status,,09-08-2024 10:35:42,09-08-2024 10:35:42,0.001s,PASSED
