Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
New NRIC Server Bio,,,,02-08-2024 10:41:10,02-08-2024 10:41:15,5.521s,FAILED
,,,,,,,
Test Cases/TC04_NewNRIC_ServerBio,,"Scenario 3 : After done fully ekyc for new NRIC, check for the server bio.",,02-08-2024 10:41:15,02-08-2024 10:41:15,0.479s,FAILED
serreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Server Bio,,02-08-2024 10:41:15,02-08-2024 10:41:15,0.000s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,,,,02-08-2024 10:41:15,02-08-2024 10:41:15,0.001s,PASSED
"response7 = sendRequest(findTestObject(""EKYC Flow/Server Bio"", [""ser_loan_id"":custloan_id, ""ser_req_id"":serreq_id, ""NRIC"":New_Nric]))",,,,02-08-2024 10:41:15,02-08-2024 10:41:15,0.454s,PASSED
println(response7.getResponseBodyContent()),,,,02-08-2024 10:41:15,02-08-2024 10:41:15,0.000s,PASSED
getStatusCode()).isEqualTo(200),,,,02-08-2024 10:41:15,02-08-2024 10:41:15,0.003s,FAILED
