Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer IDV,,,,08-08-2024 17:24:49,08-08-2024 17:24:59,9.668s,FAILED
,,,,,,,
Test Cases/TC02_Customer_Idv,,Scenario 2 : Take NRIC from customer idv table that has done fully ekyc,,08-08-2024 17:24:58,08-08-2024 17:24:59,0.684s,FAILED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Member Onboarding Status,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.000s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.001s,PASSED
println(custloan_id),,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.000s,PASSED
"response4 = sendRequest(findTestObject(""EKYC Flow/Member Onboarding Status"", [""stat_req_id"":statreq_id, ""NRIC"":IDV_Nric]))",,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.140s,PASSED
println(response4.getResponseBodyContent()),,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.000s,PASSED
getStatusCode()).isEqualTo(200),,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.001s,PASSED
"println(verifyElementPropertyValue(response4, ""exists"", ""true""))",,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.068s,PASSED
exreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Member Existence Check,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.000s,PASSED
println(custloan_id),,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.001s,PASSED
"response5 = sendRequest(findTestObject(""EKYC Flow/Member Existence Check"", [""ex_loan_id"":custloan_id, ""ex_req_id"":exreq_id, ""NRIC"":IDV_Nric]))",,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.178s,PASSED
println(response5.getResponseBodyContent()),,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.001s,PASSED
getStatusCode()).isEqualTo(200),,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.000s,PASSED
"println(verifyElementPropertyValue(response5, ""exists"", ""true""))",,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.076s,PASSED
"println(""**************MEMBER EXISTENCE PASSED**************"")",,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.001s,PASSED
custreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,,Customer Risk Rating,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.001s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.000s,PASSED
println(custloan_id),,,,08-08-2024 17:24:58,08-08-2024 17:24:58,0.001s,PASSED
"response1 = sendRequest(findTestObject(""EKYC Flow/Customer Risk Rating"", [""cust_req_id"":custreq_id, ""cust_loan_id"":custloan_id, ""NRIC"":IDV_Nric]))",,,,08-08-2024 17:24:58,08-08-2024 17:24:59,0.169s,PASSED
println(response1.getResponseBodyContent()),,,,08-08-2024 17:24:59,08-08-2024 17:24:59,0.000s,PASSED
getStatusCode()).isEqualTo(200),,,,08-08-2024 17:24:59,08-08-2024 17:24:59,0.004s,FAILED
