Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer IDV,Chrome 127.0.0.0,,,13-08-2024 10:13:43,13-08-2024 10:14:55,1m - 12.039s,PASSED
,,,,,,,
Test Cases/TC02_Customer_Idv,Chrome 127.0.0.0,Scenario 2 : Take NRIC from customer idv table that has done fully ekyc,,13-08-2024 10:13:43,13-08-2024 10:14:55,1m - 11.486s,PASSED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Member Onboarding Status,,13-08-2024 10:13:45,13-08-2024 10:13:45,0.130s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,,,13-08-2024 10:13:45,13-08-2024 10:13:45,0.003s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,13-08-2024 10:13:45,13-08-2024 10:13:45,0.007s,PASSED
"response4 = sendRequest(findTestObject(""EKYC Flow/Member Onboarding Status"", [""stat_req_id"":statreq_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,13-08-2024 10:13:45,13-08-2024 10:13:48,2.874s,PASSED
println(response4.getResponseBodyContent()),Chrome 127.0.0.0,,,13-08-2024 10:13:48,13-08-2024 10:13:48,0.043s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,13-08-2024 10:13:48,13-08-2024 10:13:48,0.311s,PASSED
"println(verifyElementPropertyValue(response4, ""exists"", ""true""))",Chrome 127.0.0.0,,,13-08-2024 10:13:48,13-08-2024 10:13:48,0.181s,PASSED
exreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Member Existence Check,,13-08-2024 10:13:48,13-08-2024 10:13:48,0.003s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,13-08-2024 10:13:48,13-08-2024 10:13:48,0.002s,PASSED
"response5 = sendRequest(findTestObject(""EKYC Flow/Member Existence Check"", [""ex_loan_id"":custloan_id, ""ex_req_id"":exreq_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,13-08-2024 10:13:48,13-08-2024 10:13:49,0.601s,PASSED
println(response5.getResponseBodyContent()),Chrome 127.0.0.0,,,13-08-2024 10:13:49,13-08-2024 10:13:49,0.008s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,13-08-2024 10:13:49,13-08-2024 10:13:49,0.012s,PASSED
"println(verifyElementPropertyValue(response5, ""exists"", ""true""))",Chrome 127.0.0.0,,,13-08-2024 10:13:49,13-08-2024 10:13:49,0.113s,PASSED
"println(""**************MEMBER EXISTENCE PASSED**************"")",Chrome 127.0.0.0,,,13-08-2024 10:13:49,13-08-2024 10:13:49,0.003s,PASSED
custreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Customer Risk Rating,,13-08-2024 10:13:49,13-08-2024 10:13:49,0.001s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,,,13-08-2024 10:13:49,13-08-2024 10:13:49,0.001s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,13-08-2024 10:13:49,13-08-2024 10:13:49,0.005s,PASSED
"response1 = sendRequest(findTestObject(""EKYC Flow/Customer Risk Rating"", [""cust_req_id"":custreq_id, ""cust_loan_id"":custloan_id, ""NRIC"":IDV_Nric]))",Chrome 127.0.0.0,,,13-08-2024 10:13:49,13-08-2024 10:13:50,1.508s,PASSED
println(response1.getResponseBodyContent()),Chrome 127.0.0.0,,,13-08-2024 10:13:50,13-08-2024 10:13:51,0.003s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,13-08-2024 10:13:51,13-08-2024 10:13:51,0.004s,PASSED
"println(verifyElementPropertyValue(response1, ""evaluationStatus"", ""Approve""))",Chrome 127.0.0.0,,,13-08-2024 10:13:51,13-08-2024 10:13:51,0.090s,PASSED
"println(""**************CUSTOMER RISK RATING PASSED**************"")",Chrome 127.0.0.0,,,13-08-2024 10:13:51,13-08-2024 10:13:51,0.004s,PASSED
